# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
7.11601 0.00421098 0.000 1.000 0.000
7.31642 0.00376676 0.000 1.000 0.000
7.53478 0.00361562 0.000 1.000 0.000
7.75544 0.00398722 0.000 1.000 0.000
7.97821 0.00379256 0.000 1.000 0.000
8.23872 0.00326377 0.000 1.000 0.000
8.55887 0.0032712 0.000 1.000 0.000
8.92055 0.00334648 0.000 1.000 0.000
9.30259 0.00292612 0.000 1.000 0.000
9.74865 0.00286681 0.000 1.000 0.000
10.2495 0.00283438 0.000 1.000 0.000
10.9179 0.00268988 0.000 1.000 0.000
11.6616 0.00340795 0.000 1.000 0.000
12.6336 0.00266551 0.000 1.000 0.000
13.9728 0.00307631 0.000 1.000 0.000
15.6317 0.0032049 0.000 1.000 0.000
18.0783 0.00347845 0.000 1.000 0.000
21.6611 0.00440702 0.000 1.000 0.000
27.4366 0.00644397 0.000 1.000 0.000
37.4236 0.00896239 0.000 1.000 0.000
54.642 0.0139987 0.000 1.000 0.000
73.2443 0.00831414 0.000 1.000 0.000
# 0.000 0.000 1.000
2.97233 0.0267116 0.000 0.000 1.000
3.01143 0.0260514 0.000 0.000 1.000
3.05105 0.0248925 0.000 0.000 1.000
3.09119 0.0259922 0.000 0.000 1.000
3.13015 0.0252347 0.000 0.000 1.000
3.16961 0.0237312 0.000 0.000 1.000
3.20956 0.0231974 0.000 0.000 1.000
3.25002 0.0223173 0.000 0.000 1.000
3.28919 0.0219647 0.000 0.000 1.000
3.32884 0.0217162 0.000 0.000 1.000
3.36713 0.0212277 0.000 0.000 1.000
3.40771 0.0212761 0.000 0.000 1.000
3.44691 0.0210354 0.000 0.000 1.000
3.48656 0.0201914 0.000 0.000 1.000
3.52666 0.0195584 0.000 0.000 1.000
3.56528 0.0192494 0.000 0.000 1.000
3.60629 0.018435 0.000 0.000 1.000
3.64579 0.0179385 0.000 0.000 1.000
3.68571 0.0178571 0.000 0.000 1.000
3.72405 0.0168314 0.000 0.000 1.000
3.76483 0.016641 0.000 0.000 1.000
3.80399 0.0167169 0.000 0.000 1.000
3.84356 0.0154374 0.000 0.000 1.000
3.88354 0.0151935 0.000 0.000 1.000
3.92393 0.0153673 0.000 0.000 1.000
3.96258 0.0142882 0.000 0.000 1.000
4.00162 0.0146837 0.000 0.000 1.000
4.04104 0.0145507 0.000 0.000 1.000
4.08085 0.0141588 0.000 0.000 1.000
4.12105 0.0142234 0.000 0.000 1.000
4.16165 0.0133152 0.000 0.000 1.000
4.20036 0.0123521 0.000 0.000 1.000
4.24173 0.0128685 0.000 0.000 1.000
4.28119 0.0125219 0.000 0.000 1.000
4.32101 0.0118565 0.000 0.000 1.000
4.35882 0.0116427 0.000 0.000 1.000
4.39937 0.0114587 0.000 0.000 1.000
4.44029 0.0114848 0.000 0.000 1.000
4.47915 0.0114587 0.000 0.000 1.000
4.51835 0.0110743 0.000 0.000 1.000
4.55789 0.0107515 0.000 0.000 1.000
4.59778 0.0106784 0.000 0.000 1.000
4.63802 0.0107515 0.000 0.000 1.000
4.67861 0.00979397 0.000 0.000 1.000
4.71699 0.00925245 0.000 0.000 1.000
4.75827 0.00935831 0.000 0.000 1.000
4.7973 0.0095302 0.000 0.000 1.000
4.83665 0.00884088 0.000 0.000 1.000
4.87632 0.00878074 0.000 0.000 1.000
4.91632 0.00966118 0.000 0.000 1.000
4.95664 0.00837108 0.000 0.000 1.000
4.9973 0.00882079 0.000 0.000 1.000
5.03555 0.00854426 0.000 0.000 1.000
5.07685 0.00840926 0.000 0.000 1.000
5.11571 0.00812712 0.000 0.000 1.000
5.15767 0.00880074 0.000 0.000 1.000
5.19715 0.00785445 0.000 0.000 1.000
5.23692 0.00771278 0.000 0.000 1.000
5.277 0.00720392 0.000 0.000 1.000
5.3145 0.00725326 0.000 0.000 1.000
5.35517 0.00738648 0.000 0.000 1.000
5.39616 0.00747099 0.000 0.000 1.000
5.4345 0.00759092 0.000 0.000 1.000
5.47609 0.00718755 0.000 0.000 1.000
5.515 0.00747099 0.000 0.000 1.000
5.55418 0.00705791 0.000 0.000 1.000
5.59365 0.00669808 0.000 0.000 1.000
5.63646 0.00666767 0.000 0.000 1.000
5.6765 0.0062847 0.000 0.000 1.000
5.71372 0.00615732 0.000 0.000 1.000
5.75432 0.00653253 0.000 0.000 1.000
5.7952 0.00666767 0.000 0.000 1.000
5.8332 0.00621361 0.000 0.000 1.000
5.87465 0.00622776 0.000 0.000 1.000
5.91316 0.00591026 0.000 0.000 1.000
5.95518 0.00592372 0.000 0.000 1.000
5.99422 0.00593721 0.000 0.000 1.000
6.03352 0.00563452 0.000 0.000 1.000
6.07308 0.00564735 0.000 0.000 1.000
6.1129 0.00567311 0.000 0.000 1.000
6.15298 0.00587006 0.000 0.000 1.000
6.19333 0.0051094 0.000 0.000 1.000
6.23393 0.0051327 0.000 0.000 1.000
6.27481 0.00559619 0.000 0.000 1.000
6.31595 0.00573801 0.000 0.000 1.000
6.3539 0.00515611 0.000 0.000 1.000
6.39556 0.00496049 0.000 0.000 1.000
6.43399 0.0054331 0.000 0.000 1.000
6.47617 0.00404202 0.000 0.000 1.000
6.51509 0.00519142 0.000 0.000 1.000
6.55423 0.00494922 0.000 0.000 1.000
