

#   Phi[rad]  Energy[keV]            I          Q/I
    0.523599      18.0957      5.41808    -0.399837
    0.523599      18.9574      4.52921    -0.388206
    0.523599        19.86      3.78629    -0.376935
    0.523599      20.8057      3.16498    -0.365969
    0.523599      21.7964       2.6452    -0.355266
    0.523599      22.8342       2.2104    -0.344814
    0.523599      23.9215      1.84692    -0.334643
    0.523599      25.0605      1.54322    -0.324772
    0.523599      26.2538      1.28945    -0.315195
    0.523599      27.5039      1.07742    -0.305904
    0.523599      28.8135     0.900264    -0.296892
    0.523599      30.1855     0.752207    -0.288134
    0.523599      31.6228     0.628481    -0.279626
#   Phi[rad]  Energy[keV]            I          Q/I
    0.785398     0.316228      1094.54     -0.85635
    0.785398     0.331285      1122.07    -0.855257
    0.785398      0.34706      1144.81    -0.853771
    0.785398     0.363585       1162.4    -0.851885
    0.785398     0.380897      1174.65    -0.849621
    0.785398     0.399034      1181.58    -0.847022
    0.785398     0.418034      1183.69    -0.844196
    0.785398      0.43794      1181.67    -0.841256
    0.785398     0.458792      1176.17    -0.838188
    0.785398     0.480638      1167.79    -0.834816
    0.785398     0.503524      1157.42    -0.830664
    0.785398       0.5275      1146.19    -0.825073
    0.785398     0.552617      1136.02    -0.817691
    0.785398      0.57893      1128.72    -0.806222
    0.785398     0.606496      1126.34    -0.781586
    0.785398     0.635375      1130.57    -0.789927
    0.785398     0.665629      1143.65    -0.834219
    0.785398     0.697324       1167.1    -0.824416
    0.785398     0.730527      1202.94    -0.825213
    0.785398     0.765312      1251.54     -0.82568
    0.785398     0.801753      1312.35     -0.82441
    0.785398     0.839929      1382.82    -0.831399
    0.785398     0.879923      1459.87    -0.838569
    0.785398     0.921821      1540.76    -0.841192
    0.785398     0.965714       1623.1    -0.847027
    0.785398       1.0117      1703.89    -0.851432
    0.785398      1.05987      1781.81     -0.85811
    0.785398      1.11034      1855.61    -0.862502
    0.785398      1.16321      1923.44    -0.865266
    0.785398      1.21859      1983.17    -0.866853
    0.785398      1.27662      2032.91    -0.867685
    0.785398       1.3374      2071.79    -0.867992
    0.785398      1.40109      2100.26    -0.867876
    0.785398       1.4678      2118.93    -0.867437
    0.785398      1.53769      2128.25    -0.866728
    0.785398      1.61091      2128.57    -0.865572
    0.785398      1.68761      2120.11    -0.864169
    0.785398      1.76797      2103.02    -0.862669
    0.785398      1.85215      2077.46    -0.861064
    0.785398      1.94034      2043.57    -0.859337
    0.785398      2.03274      2001.55    -0.857466
    0.785398      2.12953       1951.7    -0.855427
    0.785398      2.23092       1894.5    -0.853198
    0.785398      2.33715      1830.66    -0.850771
    0.785398      2.44844      1761.24    -0.848172
    0.785398      2.56502      1687.76    -0.845486
    0.785398      2.68716      1611.34    -0.842765
    0.785398      2.81511      1531.97    -0.839916
    0.785398      2.94915       1449.7    -0.836836
    0.785398      3.08958      1364.69    -0.833419
    0.785398      3.23669      1277.28    -0.829551
    0.785398      3.39081      1187.98    -0.825121
    0.785398      3.55226      1097.48    -0.820073
    0.785398      3.72141      1006.62    -0.814279
    0.785398       3.8986      916.429    -0.807651
    0.785398      4.08424      828.096    -0.800148
    0.785398      4.27871      742.895    -0.791788
    0.785398      4.48245       662.12    -0.782679
    0.785398      4.69588      586.767    -0.772967
    0.785398      4.91948      517.319    -0.762728
    0.785398      5.15372      454.051     -0.75207
    0.785398      5.39912       397.05    -0.741142
    0.785398      5.65621      346.209    -0.730118
    0.785398      5.92553      301.223    -0.719156
    0.785398      6.20768      261.614    -0.708333
    0.785398      6.50326      226.768    -0.697573
    0.785398      6.81292      196.031    -0.686625
    0.785398      7.13732      168.865    -0.675214
    0.785398      7.47717      144.871    -0.663133
    0.785398       7.8332      123.744    -0.650255
    0.785398      8.20619      105.246    -0.636562
    0.785398      8.59693      89.1746    -0.622169
    0.785398      9.00628      75.3664    -0.607457
    0.785398      9.43512      63.6333    -0.592932
    0.785398      9.88438      53.6794    -0.578618
    0.785398       10.355      45.2093    -0.564234
    0.785398      10.8481      38.0142    -0.549758
    0.785398      11.3646      31.9313    -0.535384
    0.785398      11.9058      26.7931    -0.521083
    0.785398      12.4727      22.4563    -0.506815
    0.785398      13.0666      18.8013    -0.492587
    0.785398      13.6887      15.7279    -0.478469
    0.785398      14.3405      13.1497    -0.464569
    0.785398      15.0234      10.9906    -0.450956
    0.785398      15.7387       9.1849      -0.4377
    0.785398      16.4881      7.67589    -0.424837
    0.785398      17.2732      6.41511    -0.412374
    0.785398      18.0957      5.36197     -0.40032
    0.785398      18.9574      4.48229    -0.388674
    0.785398        19.86      3.74706    -0.377388
    0.785398      20.8057      3.13218    -0.366408
    0.785398      21.7964      2.61778    -0.355692
    0.785398      22.8342      2.18749    -0.345228
    0.785398      23.9215      1.82778    -0.335044
    0.785398      25.0605      1.52722    -0.325162
    0.785398      26.2538      1.27609    -0.315573
    0.785398      27.5039      1.06625     -0.30627
    0.785398      28.8135     0.890932    -0.297248
    0.785398      30.1855     0.744409    -0.288479
    0.785398      31.6228     0.621966    -0.279961
#   Phi[rad]  Energy[keV]            I          Q/I
      1.0472     0.316228      1086.67     -0.85659
      1.0472     0.331285      1113.73    -0.855464
      1.0472      0.34706      1136.01    -0.853939
      1.0472     0.363585      1153.15    -0.852008
      1.0472     0.380897      1164.98    -0.849695
      1.0472     0.399034      1171.54    -0.847042
      1.0472     0.418034      1173.35    -0.844165
      1.0472      0.43794      1171.13    -0.841182
      1.0472     0.458792      1165.55    -0.838081
      1.0472     0.480638      1157.21    -0.834686
      1.0472     0.503524      1147.02    -0.830513
      1.0472       0.5275      1136.12    -0.824894
      1.0472     0.552617      1126.41    -0.817486
      1.0472      0.57893      1119.69    -0.805943
      1.0472     0.606496      1117.98     -0.78101
      1.0472     0.635375      1122.92    -0.789662
      1.0472     0.665629      1136.69    -0.834871
      1.0472     0.697324      1160.74    -0.825042
      1.0472     0.730527      1197.01    -0.825925
      1.0472     0.765312      1245.83    -0.826459
      1.0472     0.801753      1306.59    -0.825262
      1.0472     0.839929      1376.78    -0.832233
      1.0472     0.879923      1453.39    -0.839383
      1.0472     0.921821      1533.71    -0.841994
      1.0472     0.965714      1615.38    -0.847761
      1.0472       1.0117      1695.46    -0.852084
      1.0472      1.05987      1772.63    -0.858667
      1.0472      1.11034      1845.66    -0.863001
      1.0472      1.16321      1912.72     -0.86572
      1.0472      1.21859      1971.69    -0.867272
      1.0472      1.27662      2020.72    -0.868074
      1.0472       1.3374      2058.96    -0.868355
      1.0472      1.40109      2086.86    -0.868217
      1.0472       1.4678      2105.04     -0.86776
      1.0472      1.53769      2113.95    -0.867034
      1.0472      1.61091       2113.9    -0.865864
      1.0472      1.68761      2105.14     -0.86445
      1.0472      1.76797      2087.82    -0.862938
      1.0472      1.85215      2062.09     -0.86132
      1.0472      1.94034      2028.09    -0.859579
      1.0472      2.03274      1986.02    -0.857694
